Input,Output
my name J O H N,My name is John
hello your name what,"Hello,What is your name?"
you stay where,Where do you stay?
you age what,What is your age?
please call me later,Please call me later
we tomorrow meet,can we meet tomorrow?
my family four people,There are four people in my family
you phone number what,What is your mobile number?
nice meet you,Nice to meet you.
you sick,Are you sick?
all the best,All the best
you good,How are you?
good morning,Good morning
worry not,Dont worry
flower beautiful,flower is beautiful
up stand,Stand up
open door,Open the door
sit down,sit down
you hungry,Are you hungry ?
any question ,Any questions?
good night,Good Night
your job what,What is your job ?
sorry,I am sorry.
I help you,Shall i help you?
good afternoon,Good Afternoon
you wrong,you are wrong
good evening,Good Evening
you angry,Are you angry?
you busy,Are you busy?
we tommorow meet,Can we meet tommorow?
please pen give me,Please give me your pen.
your interview when,When is your Interview?
my mother homemaker,My mother is a homemaker.
you stay where,Where do you stay?
you do what,What are you doing?
hello your name what,Hello What is your name ?
I understand nothing,I dont understand anything.
you want tea coffee,Do you want Tea or Coffee?
happy journey,Happy Journey
I fine,I am fine
I headache,I have headache.
I think wait,Wait i am thinking
Today date what,What is today's date ?
i think,I am thinking
please call me later,Please call me later.
my name J O H N,My name is JOHN.
I bore ,I am bore doing nothing.
please room clean,Please clean the room
I tire,I am tired.
your family how many member,How many people are there in your family?
you stay where,Where do you stay?
tommorow together we go,Shall we go together tommorow?
please smoking no,No smoking please
Good question,Good question
I live Nagpur,I live in Nagpur.
traffic jam,There was traffic jam
your mobile number what,What is your mobile number?
Your father do,what is your father doing?
I go theatre,I go to theatre.
we go when,when will we go ?
please some time wait,Please wait for sometime.
you finish homework,Did you finish your home work ?
you wrong,You are wrong
pink color I like,I like pink color
you money have you,Do you have money?
I clerk,I am a clerk.
I love shop,I love to shop.
you tv watch,Do you watch TV?
my family four people,There are four people in my family.
you book ticket,Did you book tickets?
we go when,When will we go ?
 call ambulance,Please call an ambulance
I say something but forget,I had to say something but i forgot.
your when interview,When is your interview?
you office go,Do you go to office?
he buy book yesterday,yesterday he bought a book
you buy what yesterday,what did you buy yesterday?
apple child eat,A child eat's an apple
woman sad,The woman is sad
Tomorrow Delhi go,I am going to Delhi tomorrow
child angry why,Why is the child angry?
come who,who is coming?
friend sleep where,where does your friend sleep?
Mother book search,Mother is searching for a book
Father search what,what is father searching?
I live Pune,I live in Pune
she work where,Where does she work?
bank where,Where is the bank?
sick who,Who is sick?
I college go before,I went to college
you okay,Are you okay?
you upset,are you upset?
you work how,how about your work?
my father doctor,my father is a doctor
i engineer,i am engineer
i happy,i am happy
i sad,i am sad
ball red,the ball is red in color
i sick,i am sick
she laugh,she is laughing
come soon,come soon
my father teacher,my father is a teacher
she eat,she is eating
baby cry,baby was crying
she go when,when she is going?
i sleep,i am sleeping
you hungry,are you hungry?
i three ball,i have three balls
i happy yesterday,i was happy yesterday
she eat what,what did she eat?
i tire,i am tired
i eat,i ate
i see car,i see the car
he read book,he is reading a book
J O H N sick,was john sick?
i like apple,i like apple
baby cry,baby is crying
J O H N go home,john went home
dad upset,dad was upset
i stay pune,i stay in pune
you buy what,what did you buy?
please wait,Please wait 
i fine,i am fine
smoke not,dont smoke
